,text,link
0,"Good morning. Here’s what you need to know: • President Trump’s rift with the U.S. judicial system is deepening. He lashed out at a three-judge federal appeals panel that appeared skeptical of his order banning travel from seven predominantly Muslim countries, calling the hearing “disgraceful” and hinting that the judges were politically motivated. His nominee for the Supreme Court, Neil Gorsuch, called the president’s attack on the independent judiciary “demoralizing” and “disheartening.” Mr. Trump also attacked the retailer Nordstrom, which is one of several retailers who have pulled away from his daughter, Ivanka Trump. _____ • The Daily: In today’s podcast, we listen in on the travel ban litigation and revisit the words of the novelist and essayist James Baldwin. Listen here if you’re on a computer, here if you have an iOS device or here for an Android device. ",https://www.nytimes.com/2017/02/08/briefing/travel-ban-vladimir-putin-carbon-tax.html?searchResultPosition=97
1,"A hearty cheer some 50 voices strong greeted the eight members of the Khoja family Tuesday night as they wheeled their luggage into the arrivals area of Kennedy International Airport. It came from volunteers of Rutgers Presbyterian Church on Manhattan’s Upper West Side who signed on to sponsor this family of Kurdish Syrian refugees months ago, only to find them caught up in a maelstrom of presidential politics, judges’ decisions and delays. The volunteers cried, and the Khojas could not stop smiling. “We heard that we can’t go to America and now we are here and we can’t believe our eyes,” Suzan Khoja, 28, said in breathless English. Ms. Khoja; her five siblings, ages 12 to 31; and her parents left Aleppo and had been living in Istanbul for a few years. Their arrival at Kennedy, just before an appellate court in San Francisco heard arguments about whether President Trump’s indefinite ban on Syrian refugees should be reinstated, was the dramatic end to 12 days fraught with confusion, deferred dreams and cautious hopes. “When the plane landed, I felt that now this is a reality,” said the patriarch, Mahmoud Khoja, 58. On the ground in the United States, the groups working to bring refugees in — often affiliated with churches and synagogues — had been going through their own whipsaw of emotions. Rutgers Presbyterian’s refugee task force put a typical New York spin on the crisis, turning to its high-placed contacts and deep pocket of donations to see if it could bring the family into the country despite the ban on refugees. The group enlisted several immigration lawyers, the American Civil Liberties Union and human rights professors in Istanbul. Someone had a number for Justin Trudeau, Canada’s prime minister, but then learned that to go to Canada, the family would have to start the three-year application process again. ",https://www.nytimes.com/2017/02/08/nyregion/after-agonizing-delay-kurdish-syrian-refugees-reach-new-york.html?searchResultPosition=110
2,"WASHINGTON — In seeking to rent space in the 58-floor skyscraper that is President Trump’s home in Manhattan, the Defense Department is continuing a long tradition of finding a place close to the commander in chief for his top military aides — including the ones who carry the “nuclear football” of launch codes that follows the president everywhere. The Defense Department has regularly paid for space near temporary or part-time presidential residences, including near the Chicago home of President Barack Obama. Before that, the Pentagon placed a heavily secured trailer at the Crawford, Tex., ranch of President George W. Bush. But it is hard to put a trailer with the nuclear football right outside Trump Tower on Fifth Avenue, officials say. Even so, a move into the Manhattan high-rise raises questions of taxpayer money going directly to Mr. Trump. The football — essentially the briefcase of nuclear codes and communications systems — follows the president wherever he goes, held 24/7 by a military aide who must be able to get it to him in minutes if necessary. Whoever is taking care of the nuclear football needs a place to sleep, close to the president. Thus, the need to rent space in Trump Tower, officials say. “In order to meet official mission requirements, the Department of Defense is working through appropriate channels in accordance with all applicable legal requirements in order to acquire a limited amount of leased space in Trump Tower,” Lt. Col. J. B. Brindle, a Pentagon spokesman, said statement. “The space is necessary for the personnel and equipment who will support the POTUS at his residence in the building,” he said, using an acronym for president of the United States. Since the military aide cannot move into the three-story apartment that Mr. Trump shares with his wife, Melania, and son Barron, that leaves looking to lease space elsewhere in the building. The Defense Department did not say how much it would pay for the space. Leasing agents say a floor in Trump Tower can rent for $1.5 million a year, but it was unclear whether the Pentagon would rent that much space. One possibility would be for the Pentagon to lease a condominium from a resident in the building who owns the space. Renting space from a president is not without precedent. The Secret Service paid Vice President Joseph R. Biden Jr. $2,200 a month to rent a cottage adjacent to his home in a Wilmington, Del., suburb. The Secret Service also has an arrangement in Trump Tower. Administration officials declined to comment on why the two agencies could not share the space. ",https://www.nytimes.com/2017/02/08/us/politics/trump-tower-defense-department.html?searchResultPosition=78
3,"The Budapest Festival Orchestra and its conductor, Ivan Fischer, gave two of the freshest, least conventional Beethoven performances of the season at Lincoln Center this week. Music students unexpectedly rushed the stage to join them in a soaring section of the Fifth Symphony, and incognito choristers popped up among the audience members to sing the Ninth’s “Ode to Joy.” But the high-energy concerts — part of a five-city American tour that concludes on Sunday in Boston — were briefly thrown into doubt by President Trump’s chaotically instituted travel ban. As the orchestra prepared to leave Hungary last week, it was informed that one of its cellists, a longtime Hungarian citizen, would not be allowed to enter the United States because he also held citizenship in Iraq, one of the seven predominantly Muslim countries named in the ban. Mr. Fischer — who has become known as a voice for tolerance and inclusion as his native Hungary has embraced nationalist and staunchly anti-immigrant policies under the government of Prime Minister Viktor Orban — suddenly found himself having to make the case for openness to United States officials, whom he called to protest. “It struck a nerve in me, a very strong feeling that I will never allow anybody to single out a musician in my orchestra and disadvantage that person because of their origin, skin color, religion or any other factor,” Mr. Fischer said in an interview at his hotel on Tuesday. Mr. Fischer, 66, who is Jewish and lost grandparents in the Holocaust, said that he had often thought of Jewish musicians’ being singled out and removed from leading orchestras, including the Vienna Philharmonic and the Berlin Philharmonic, during the Nazi period, some being exiled and some killed. “Having learned this lesson,” he said, “I have a very strong determination not to allow that ever to happen.” ",https://www.nytimes.com/2017/02/08/arts/music/budapest-festival-orchestra-triumphs-over-trumps-travel-ban.html?searchResultPosition=79
4,"Welcome to an experiment in journalism and community — a newsletter that will help shape The New York Times’s expansion in Australia. Follow along by signing up to receive it by email, and tell us what you think at nytaustralia@nytimes.com W
hen The New York Times decided to expand in Australia, a rift with the United States seemed about as likely as a 25-point Super Bowl comeback. Enter Donald Trump. You’ve probably already read about his phone call with Prime Minister Turnbull: the brevity of the exchange; President Trump’s rejection of a deal that would bring up to 1,250 refugees to the U.S. from Australia’s detention centers in Manus and Nauru. If you want to see who those refugees really are, watch this Times video, or just look at the photo above of Behrouz Boochani, a dissident from Iran. “Behrouz is intense when you first meet him,” said Ashley Gilbertson, the Australian photographer who shot this portrait on Manus island. “The intensity in many people wears off after first meeting — not Behrouz.” If you want more context, read Jane Perlez, writing from Beijing about how that combative call — along with Mr. Trump’s rejection of the Trans-Pacific Partnership — threatens to push Australia closer to China. You may also enjoy this GIF capturing the call’s essence, or the message below, from a protest in Melbourne on Feb. 3. ",https://www.nytimes.com/2017/02/08/world/australia/newsletter-issue2-trump-turnbull-refugees.html?searchResultPosition=80
5,"The arrival of documentary stars on the red carpet often brings a stiff blast of reality to the fairy-tale concoction that is the Academy Awards. One minute reporters are clamoring to chat up Bradley Cooper or ask J. Law about her dress, the next they are presented with a genocide survivor, a soldier ravaged by war, or a Congolese park ranger who risks life and limb to protect the last of an endangered species. If the red carpet doubles as a popularity contest — and it does — celebrities win, hands down. But this year’s batch of documentary makers and their subjects might find themselves in a brighter spotlight because of the increasingly heated political climate. Five of the 10 feature-length and short documentaries nominated for Oscars are directly or indirectly about refugees. Three of them trace the perilous paths of desperate migrants; a fourth is about Syrian rescuers who search for people buried alive in bombed buildings; and a fifth is about a Holocaust survivor who arrived on America’s shores seven decades ago. Several of the documentarians wanted to bring their subjects to the Oscar ceremony, but plans were upended by President Trump’s order banning travelers and refugees from seven Muslim-majority countries. With the ban’s fate tied up in the courts, their attendance remains uncertain. So, the Bagger asked the filmmakers and a few subjects, too: Given the uproar over refugee issues fueled by the controversial ban, what would your message be if you found yourself on the Oscar stage? ",https://www.nytimes.com/2017/02/08/movies/oscars-documentaries-immigration-refugees.html?searchResultPosition=81
6,"Was there a woman who didn’t recognize herself in the specter of Elizabeth Warren silenced by a roomful of men? The explosion of indignation, mockery and free publicity that greeted Tuesday night’s move to prevent Senator Warren from reading a letter about Senator Jeff Sessions written by Coretta Scott King resonates with so many women precisely because they have been there, over and over again. At a meeting where you speak up, only to be cut off by a man. Where your ideas are ignored until a man repeats them and then they are pure genius — or, simply, acknowledged. Being interrupted or ignored, and being one of the few women in the room, can be both inhibiting and enraging. You check your own perception: Was I being too aggressive, or did I really have a point? Is this about being a woman, or something else? Raising questions of a double standard, male Democratic senators including Bernie Sanders of Vermont and Jeff Merkley of Oregon later read into the record the very same letter that Senator Warren was reading when the Senate voted, along strict party lines, to ban her from further debate on the nomination of Mr. Sessions as attorney general. The firestorm came as liberal women have placed themselves in the vanguard of opposition to the administration of President Trump. Casting him as anti-woman, they cite the infamous “Access Hollywood” tape, when Mr. Trump boasted of forcing himself on women; his comments that women who criticized him were ugly and overweight; a cabinet with four women in a sea of men; and policies including restricting access to abortion and contraception. ",https://www.nytimes.com/2017/02/08/opinion/elizabeth-warren-was-told-to-be-quiet-women-can-relate.html?searchResultPosition=82
7,"Any parent who has had children in middle school is familiar with their teenage excuses. First, they complain that the teachers are mean and assign too much homework, then that the reading is boring, and then when all else fails, they give you that aggrieved look and whine, “It’s tooooo haaaaard.” The point is that whatever happens, it’s someone else’s fault. It’s annoying when it comes from a 13-year-old. When it comes from the president of the United States and his team, it’s downright terrifying. In a chilling article in The Times this week, Glenn Thrush and Maggie Haberman described President Trump’s Keystone Kops White House where aides meet in the dark because they can’t figure out how to use the light switches (setting them to “on” might be worth trying), and Trump wanders around his living quarters in his bathrobe watching CNN and obsessing about how mean everyone is to him. When his executive order putting Steve Bannon into the top circle of the National Security Council drew howls of protest, Trump got mad — because, Thrush and Haberman reported, he had not been fully briefed on the order before he signed it. Not fully briefed? Didn’t Trump think he should at least have a conversation about the ramifications of setting aside a seat in the Situation Room for a purely political aide with no known national security credentials? (And no, Bannon’s seven years as a junior Navy officer do not amount to national security expertise.) Did Bannon just write the order himself without telling Trump what was in it? Apparently there was not sufficient discussion of the anti-Muslim refugee and visa ban, either. Maybe the White House got overloaded with math homework or finding the light switches and couldn’t get to it. Nor was there time to discuss an order that gave the Central Intelligence Agency the power to go back into the “black site” prison business, or one that rolled back protections for lesbian, gay, bisexual and transgender Americans. (The first was revised and the second, apparently, scrapped.) ",https://www.nytimes.com/2017/02/08/opinion/donald-trump-middle-school-president.html?searchResultPosition=83
8,"Stephen Sondheim has been awarded the 2017 PEN/Allen Foundation Literary Service Award — making him the first composer-lyricist to win it. The prize is given annually to a “critically acclaimed writer whose body of work helps us understand and interpret the human condition,” according to PEN America’s news release. While the prize has mostly gone to novelists, including Salman Rushdie and Toni Morrison, Mr. Sondheim has made an undeniable impact on the last 60 years of culture by writing musicals including “West Side Story,” “Sweeney Todd” and “Company.” And the precedent for giving a literary award to a musical artist was strengthened last year, when Bob Dylan accepted the Nobel Prize for Literature. “Stephen Sondheim has really given voice to complex aspects of the human spirit: to nuance, to psychology, to inner voices,” Andrew Solomon, president of PEN America, said in a phone interview. “His work points to the significance of living a moral life, and that’s never felt more urgent than right now.” Mr. Sondheim will be honored by PEN on April 25 at the American Museum of Natural History, with Meryl Streep presenting the prize. She starred in the 2014 film adaptation of Mr. Sondheim’s “Into the Woods,” and received an Oscar nomination for her role. This weekend Mr. Sondheim’s work will be back on Broadway, with a revival of the Pulitzer Prize-winning “Sunday in the Park with George” starring Jake Gyllenhaal. And he’s working on a new musical inspired by the works of Luis Buñuel, tentatively slated to arrive at the Public Theater sometime this year. J. K. Rowling, the creator of the Harry Potter books, received the award last year; she spent part of her acceptance remarks defending Donald J. Trump’s right to free speech, while nevertheless calling him “offensive and bigoted.” ",https://www.nytimes.com/2017/02/08/books/stephen-sondheim-to-receive-pen-literary-award.html?searchResultPosition=84
9,"BEIRUT, Lebanon — A northern Syrian city that is one of the Islamic State’s last enclaves in the country is under assault by military forces bearing down from all sides. The complication is that the advancing forces — the Syrian Army and pro-government militias backed by Russia, and Syrian rebels backed by Turkey — are sworn enemies. Their simultaneous race to seize the city, Al Bab, has turned into a test of how a global realignment of powers supporting Syria’s antagonists could help reshape or end the nearly six-year-old conflict. Al Bab, which had roughly 100,000 people when the war began in 2011, is the last urban area held by the Islamic State west of its de facto capital, Raqqa, where the group remains entrenched. Russia and Turkey have swerved in recent months from outright hostility to working more closely in a diplomatic effort aimed at resolving the conflict, after fitful and repeated failures led by the United Nations and the United States. But in the battle for Al Bab, Russia and Turkey must transform their newfound understanding into results on the ground, with the ambitious goal of pushing their Syrian partners into de facto military cooperation. Otherwise they risk creating a new flash point. ",https://www.nytimes.com/2017/02/08/world/middleeast/battle-al-bab-syria-geopolitical-test.html?searchResultPosition=85
