,text
0,"First, Pete Souza became an Instagram celebrity by documenting the White House. Then he became an even bigger one by criticizing it. The former chief White House photographer for President Barack Obama, Mr. Souza has been developing a huge following on his Instagram account since the early days of the Trump administration. That is when he began posting nostalgic photos from the Obama era that, because of their captions and Mr. Souza’s timing, also read as sly commentary on President Trump. People caught on, and Mr. Souza, who also spent more than five years photographing the Reagan White House, became the subject of numerous media headlines lauding his “shade-throwing” skills. While he declined to comment about Mr. Trump at the time, Mr. Souza kept the visual digs coming. Now he is adapting his strategy into a book titled “Shade: A Tale of Two Presidents.” The book, scheduled for publication on Oct. 16, is intended to be a “portrait in contrasts,” according to a news release from the book’s publisher, Little, Brown and Company. In it, Mr. Souza’s photography will be juxtaposed with “tweets, headlines, quotes and other material from the first 500 days of the Trump administration.” The contrast, Mr. Souza said in an Instagram post announcing the book, is meant to express his concern over “the future of our democracy” by framing the current presidency through a look at the previous one. Mr. Obama “respected democracy and the rule of law,” he wrote. “Unlike his successor, he respected the office of the presidency.” "
1,"[Jessica Walter has died at 80. Read her obituary.] Perhaps no moment better defines “Arrested Development” than a recent attempt by Tony Hale, who plays the high-strung, blissfully immature (and one-handed) Buster Bluth, to set up a promotional clip on “Conan.” “I don’t even know how to explain this,” Mr. Hale said. The show, created by Mitchell Hurwitz, has always been difficult to characterize. The zany, self-referential sitcom tracking a narcissistic family as they dodge the claws (or hook!) of justice was critically adored when it debuted in 2003, but failed to build an audience over three seasons on Fox. It remained a cult favorite, its disciples ever clamoring for more banana stands, stair cars, cousins in love and $5,000 suits (Come on!). But Netflix’s convoluted revival in 2013 left many fans cold. (Mr. Hurwitz recently re-edited those episodes.) Now it’s back for a fifth season — debuting May 29 — and there’s a cloud hanging over the Bluths’ model home. One of the show’s stars, Jeffrey Tambor (George Sr.), was accused of sexual misconduct on the set of “Transparent,” allegations he denied but that still resulted in his being fired from the show. When the accusations emerged, “Arrested Development” had nearly finished production; Mr. Hurwitz and the cast members expressed support for Mr. Tambor. This week many of the actors got together for a group interview about the new season, including Mr. Tambor, Mr. Hale, Jason Bateman (Michael), Alia Shawkat (Maeby Fünke), Jessica Walter (Lucille), Will Arnett (Gob) and David Cross (Tobias Fünke). In a freewheeling, at times emotional conversation that had the air of a family Thanksgiving dinner, the group candidly discussed Mr. Tambor’s behavior on set, reflecting in particular on the time he blew up at Ms. Walter, his onscreen wife. Ms. Walter spoke publicly for the first time about the incident, which Mr. Tambor first mentioned in an interview with The Hollywood Reporter. "
2,"A federal regulator on Wednesday encouraged banks to offer small, short-term loans to people in need of emergency cash, the Trump administration’s latest relaxation of banking regulations and a rare moment of common ground with consumer groups that oppose payday lending. The Office of the Comptroller of the Currency, which regulates national banks, said it will start allowing banks to make small loans — typically in the range of $300 to $5,000 — outside of their standard underwriting processes. Joseph Otting, the agency’s leader, said the new guidance is intended to help extend banking services to Americans whose credit scores are too low to qualify for conventional loans or credit cards. Mr. Otting offered the example of the owner of a vehicle in need of immediate repairs who had few options other than seeking a quick loan from a check-cashing shop or even a liquor store. “It’s not like that credit demand went away, it just got displaced into the most expensive segment,” he said. “I personally believe that banks can provide that in a safer, sound, more economically efficient manner.” A handful of large and midsize banks, including Wells Fargo and Regions Bank, once offered so-called deposit advance loans that let customers quickly borrow small sums, which would typically be repaid from their next paycheck. The banks stopped making such loans in 2014, after federal regulators warned banks against providing products that “can trap customers in a cycle of high-cost debt that they are unable to repay.” "
3,"Through Sunday. Derek Eller, 300 Broome Street, Manhattan; 212-206-6411, derekeller.com. Nancy Shaver’s exhibitions often overload the senses. They are extravaganzas of stuff, colorful and tactile, mostly society’s castoffs recycled into forms that expose false binaries, like high versus low, form versus function, masculine versus feminine and art versus craft. Ms. Shaver operates simultaneously as artist, curator, hoarder and stylist. She is also an astute frequenter of flea markets, seeking items for both her work and her secondhand store, Henry, in Hudson, N.Y. Her latest New York show, at Derek Eller, demonstrates her complex proclivities with special clarity. Its title, “A Part of a Part of a Part,” suggests a parsing of her efforts. Some of the art is cobbled together from found materials or objects, most notably her signature wall pieces, called “Blockers”: little wood blocks, individually covered with paint, fabric, paper or wallpaper, and arranged into grids, which evoke projects ranging from quilts to scrapbooks to works by Piet Mondrian and Joseph Cornell. A similar process is achieved in a beautiful, porous sculpture, “Drawing #30 — Light and Air,” in which stacks of little thread spools evoke Brancusi’s “Endless Column,” in embryo. But Ms. Shaver also uses things as they are, frequently in large numbers, as in the ambitious “Collections — Love and Work.” It includes wooden drawer knobs; baby hats from China, Afghanistan and Uzbekistan; beaded evening bags; and a handmade snow shovel. (Duchamp, anyone?) "
4,"HEMPSTEAD, N.Y. — With the might of incumbency and New York State’s Democratic machine at his back, Gov. Andrew M. Cuomo cruised to the nomination for a third term on Wednesday, as Hillary Clinton and other powerful friends touted his administration as a model for the state and, perhaps, the nation. For Mr. Cuomo, who effectively controls the state party, the endorsement was inevitable. But the rhetoric surrounding his coronation was geared to ratchet up enthusiasm for the governor, who is dealing with an unexpectedly prickly challenge from the left from Cynthia Nixon. And while Ms. Nixon dropped in here on Wednesday — shaking hands, doing interviews, and leaving before noon — the moment undeniably belonged to Mr. Cuomo, with an assist from Mrs. Clinton, whose support in the convention hall here at Hofstra University seemed little dimmed by her loss to Donald J. Trump in 2016. “Now more than ever, we need leaders who will stand up for progressive values,” Mrs. Clinton said, after reeling off a laundry list of Democratic priorities, from fighting climate change to fighting for the rights of immigrants. “Most of all, we need leaders who believe in producing results and getting things done, leaders like Andrew Cuomo.” Though not nominated by the party on Wednesday, Ms. Nixon, who drew less than 5 percent of the delegate vote, intends to collect petitions to appear on the ballot, and she is still gunning to defeat Mr. Cuomo in a Sept. 13 primary. “This is our party, too,” Ms. Nixon said of her and her progressive supporters. Wednesday, however, was dominated by Mr. Cuomo and his anointed allies, including Letitia James, who secured the party’s nod for attorney general, a position suddenly vacated in early May after the resignation of Eric T. Schneiderman, who has been accused of physically abusing several romantic partners. Kathy Hochul, the lieutenant governor, was also nominated for another term. "
5,"(Want to get this briefing by email? Here’s the sign-up.) Good evening. Here’s the latest. 1. Of all the questions hanging over Robert Mueller’s Russia investigation, one stands out: How will President Trump fare in the end? Here are several possible outcomes. An indictment while Mr. Trump is in office would be the most aggressive option, but it has grown increasingly unlikely. In a series of Twitter posts about the Russia investigation, Mr. Trump repeated allegations that federal investigators had used spies against his campaign, and gave the supposed scandal a name: “SPYGATE.” In related news, a judge ruled that the president’s Twitter feed is a public forum and that he cannot block anyone from following him. ____ "
6,"WASHINGTON — The Senate gave final passage on Wednesday to a multibillion-dollar revamp of the veterans health care system, consolidating seven Veterans Affairs Department health programs into one and making it far easier for veterans to take their benefits to private doctors for care. The legislation, which passed 92 to 5, also expands popular stipends to family caregivers of veterans who served during the Vietnam War era or after. And it establishes a nine-member commission to study the department’s current infrastructure to determine where its health system should expand and contract. The comprehensive bill had been a year in the making, and ultimately won the support of Republicans and most Democrats. The House passed it last week, 347 to 70, and President Trump plans to sign it into law. The bill rounds out an ambitious legislative agenda on veterans issues that has bridged the administrations of President Barack Obama and Mr. Trump, and largely united moderates in both parties who set out to make major changes to the department after a 2014 scandal over the manipulation of data on patient wait times. Mr. Trump has already signed laws that make it easier for the department to remove and fire employees and for veterans to appeal benefits decisions, as well as a rewrite of the G.I. Bill for post-9/11 veterans. Wednesday’s vote is “the last piece of a great mosaic to reform the benefits for our veterans to make them contemporary with the 21st century,” said Senator Johnny Isakson of Georgia, the chairman of the Senate Veterans’ Affairs Committee. Dozens of military and veterans groups, including the largest congressionally chartered organizations, such as the American Legion and Veterans of Foreign Wars, also touted the changes. But beneath the surface, deep mistrust remains over the Trump administration’s mission to increase the use of private care. Many of the largest veterans groups, as well as Democrats and some moderate Republicans, fear that the White House’s push to unfetter veterans’ ability to choose their care is a backdoor effort to tip the scales in favor of private medicine and to starve the federal government’s second-largest department and its vast government-run health system. "
7,"BETHPAGE, N.Y. — A week after President Trump used the word “animals” to describe dangerous criminals who enter the country illegally, he traveled to the epicenter of MS-13 gang killings on Wednesday to press his demands for tougher immigration laws. Robert Mickens, a grieving father, told the president that the murder of his teenage daughter by MS-13 members validated Mr. Trump’s crusade to eradicate the gang by shutting America’s borders to violent criminals. “Obviously, this is a very touchy subject because there is immigration involved,” Mr. Mickens said while his wife wept quietly by his side at a forum on Long Island organized by the White House. “America is based off immigration. Everybody who came here wanted the American dream,” said Mr. Mickens, whose daughter, Nisa Mickens, was killed in 2016. “The American dream is still there. But if you’re going to come here with acts of violence, you can stay in your own country with that, because we don’t need it here anymore.” The emotional moment came during a highly stage-managed event in which Mr. Trump came to Long Island for the second time as president to address the problem of MS-13 — a transnational gang that has ties to El Salvador and uses machetes to kill — and to insist on the passage of tougher immigration laws. Outside the Morrelly Homeland Security Center, both a large group of immigrant rights advocates and a smaller group of supporters for Mr. Trump chanted in a circuslike atmosphere. Inside the tight room of about 150 formally dressed officials, law enforcement officers and the families of five victims of the gang, the atmosphere was one of subdued defiance. "
8,"President Trump has asked for a sweeping trade investigation into whether autos imported into the United States pose a threat to national security, a move that could ultimately result in tariffs on foreign-made cars and further strain relations with global allies. In a statement released Wednesday evening, the Commerce Department said it had begun an investigation “following a conversation” with Mr. Trump. The announcement followed a statement from the president, in which he said he had instructed the commerce secretary, Wilbur Ross, to investigate imports of cars, trucks and auto parts “to determine their effects on America’s national security.” “Core industries such as automobiles and automotive parts are critical to our strength as a nation,” Mr. Trump said. In a separate announcement, the Commerce Department said that imports of passenger vehicles had grown from under a third of cars sold in the United States 20 years ago to nearly half today, while employment in the sector had declined. Automobile manufacturing has long been a source of technological innovation in the United States, and the investigation would consider whether the decline of the auto industry threatens to weaken the American economy by reducing research and development in cutting-edge technologies, the statement said. “There is evidence suggesting that, for decades, imports from abroad have eroded our domestic auto industry,” Mr. Ross said. The investigation, which will take months, will be carried out under the same legal statute that the administration used to impose tariffs on steel and aluminum imports. The statute gives the president broad authority to restrict imports that threaten national security. "
9,"NEWARK — Roberta Harrington, a retired nurse of the same vintage as Philip Roth, remembers a visit a year ago by Mr. Roth to his clapboard boyhood home, which she now lives in, on Summit Avenue. He recalled with pleasure the many times that as a child “he’d run up the stairs and come back down again” just for the fun of it and how he prized a cherry tree that was no longer there. That house, that quiet tree-lined street, that neighborhood, this treasured city was the setting of many of Mr. Roth’s novels just as William Faulkner set many of his stories in the region around his hometown, Oxford, Miss. Though Faulkner used the fictional name Yoknapatawpha County, Mr. Roth, who died Tuesday at 85, rarely bothered to camouflage Newark in any way. In his breakthrough debut novella, “Goodbye, Columbus,” his alter ego Neil Klugman, working at the Newark Public Library for a summer, is bewitched by the fetching and much better-heeled Brenda Patimkin. In “American Pastoral,” another Roth stand-in, Nathan Zuckerman, idolizes Swede Levov, the star athlete of Weequahic High School, a character based on the school’s real-life star athlete when Mr. Roth attended in the 1940s. His last novel, “Nemesis,” recalls the panic that enveloped his tightly knit Jewish neighborhood in 1944 when a polio epidemic maimed and paralyzed some of its children. Mr. Roth was regarded with Saul Bellow, John Updike and one or two others as the titans of American literature of the second half of the 20th century. He earned that regard, in part, by milking the everyday people, buildings, streets and mores of the humble Weequahic neighborhood and other city landmarks, often with palpable and wistful affection. “This passion for specificity, for the hypnotic materiality of the world one is in is all but at the heart of the task to which every American novelist has been enjoined since Herman Melville and his whale and Mark Twain and his river: to discover the most arresting, evocative verbal depiction for every last American thing,” Mr. Roth said when he celebrated his 80th birthday in Newark in 2013. "
