,text
0,     
1,"TEHRAN — Members of Iran’s ruling establishment took turns on Thursday assigning blame for what they regard as an embarrassing outbreak of protests in more than 80 cities across the country. Iran’s chief prosecutor elaborated on the government’s claims that the United States and other foreign enemies were responsible for stirring up trouble. The United States, Israel and Saudi Arabia planned the “riots” to “subvert the Iranian government,” the prosecutor, Mohammad Jafar Montazeri, said on state television. “The U.S., the Zionist regime and the Al Sauds were the three sides of this subversive plan, and Saudi Arabia committed to provide money for it,” Mr. Montazeri said. Mr. Montazeri asserted that Michael D’Andrea, a C.I.A. officer who runs Iran operations, was a “main designer” of the protests and that the C.I.A. hoped to turn the protest into an “armed” revolt by mid-February, the anniversary of the country’s 1979 Islamic revolution. The Trump administration has denied having any involvement in the protests, and the C.I.A. declined to comment. But a former intelligence official who was granted anonymity to discuss Mr. D’Andrea’s thinking said the operative did not believe the United States could do anything to bring about regime change in Iran. Iran did not provide evidence for its accusation, which evoked memories of the C.I.A.’s role in a 1953 coup that overthrew the democratically elected government of Mohammed Mossadegh. "
2,"WASHINGTON — The Trump administration announced on Thursday that it would suspend nearly all security aid to Pakistan, an across-the-board freeze that is the most tangible sign yet of Washington’s frustration with the country’s refusal to crack down on terrorist networks operating there. The decision, which could affect as much as $1.3 billion in annual aid, came three days after President Trump complained on Twitter that Pakistan had “given us nothing but lies & deceit” and accused it of providing “safe haven to the terrorists we hunt in Afghanistan.” The move underlines how swiftly relations with Pakistan have deteriorated since Mr. Trump took office. But it echoes several previous rifts between the countries over Pakistan’s role as a sanctuary for extremist groups — a role that has poisoned Islamabad’s relations with Washington since the terrorist attacks of September 2001. Administration officials emphasized that the freeze was temporary and could be lifted if Pakistan changed its behavior. The United States is urging the Pakistani government to cut off contact with militants and reassign intelligence agents with links to extremists, among other measures. United States officials had also demanded access to a member of the Taliban-linked Haqqani network, who was captured by Pakistani forces during the rescue of a Canadian-American family in October, and were angered when Pakistan rejected the request. “It’s hard to argue the status quo has been working, so we are looking at changing it to advance our security objectives,” said Brian H. Hook, the State Department’s director of policy planning. Heather Nauert, the department’s spokeswoman, said the administration was still working out the precise dollar amounts that would be frozen. Though the move was months in the planning, officials said the announcement was rushed by a few days to catch up to Mr. Trump’s Twitter post on Monday, which drew a toxic reaction from Pakistan. The move also came after considerable internal debate, officials said. The Pentagon is worried that the Pakistani government could retaliate by denying access to routes in Pakistan that it uses to supply roughly 14,000 American troops deployed in neighboring Afghanistan. After Mr. Trump’s tweet, the foreign minister of Pakistan, Khawaja Muhammad Asif, said that there was a need to revisit the nature of its relations with the United States. In an interview with a local news network, he said the United States was acting like neither an ally nor a friend. The suspension includes about $1.1 billion in Coalition Support Funds, which the Pentagon provides to help defray the costs of counterterrorism operations in Pakistan. Under the freeze, the United States also will not deliver military equipment to the country. It had earlier held up $255 million in State Department military financing. Ms. Nauert said some exceptions could be made “on a case-by-case basis if determined to be critical to national security interests.” Internal government talking points that were obtained by The New York Times said the suspension was “a freeze, and does not reflect intent to reprogram funds at this time” — meaning that the money will not be diverted to other uses. “Pakistan has the ability to get this money back in the future, but they have to take decisive action,” Ms. Nauert said. The administration said that the freeze did not apply to civilian assistance programs. The United States has provided Pakistan more than $33 billion in aid since 2002, a program that ramped up sharply in the wake of the Sept. 11 attacks as the United States viewed Pakistan as a key ally in fighting Islamic militants. Earlier on Thursday, the State Department announced that it had placed Pakistan on a special watch list for what it described as severe violations of religious freedoms. The designation was part of the administration’s annual accounting of violations by countries as required by the International Religious Freedom Act of 1998. Attacks on religious minorities have increased in Pakistan in recent years, reflecting a growing religious intolerance and driven in part by a proliferation of religious schools funded by Saudi Arabia. The United States previously has frozen military aid without forcing a change in Pakistan’s policies. In July 2011, two months after an American commando raid that killed Osama bin Laden in Pakistan, the Obama administration suspended about $800 million in aid. Relations with Pakistan did not improve, and officials there have come to discount such threats. “This is a great opening salvo, but I don’t think it is enough to make Pakistan change its behavior, unless we have a Plan B,” said C. Christine Fair, a professor who specializes in South Asia at the security studies program at Georgetown University. Still, Ms. Fair said the scale of the administration’s action suggested it was serious about forcing a change. White House officials said they would consider further steps, including removing Pakistan from a list of major non-NATO allies of the United States — a move that would carry enormous symbolic significance for the relationship. Husain Haqqani, a former Pakistani ambassador to the United States, said the decision “indicates that the administration does have a step-by-step plan to indicate to Pakistan that business as usual is no longer possible.” While Mr. Haqqani said that Pakistan might well retaliate by shutting off ground supply routes to Afghanistan, such a move would also carry costs for the Pakistanis, since they supply many of the trucks and other logistics for the supply operation. Defense Secretary Jim Mattis, speaking to reporters on Thursday, said, “We have had no indication of anything like that.” The administration has augured the freeze ever since Mr. Trump announced his Afghanistan strategy over the summer, in which he faulted Pakistan for failing to crack down on terrorist sanctuaries that line the border between the two countries. His language grew harsher in recent weeks. Last month, in presenting his national security strategy, Mr. Trump again singled out Pakistan. “We make massive payments every year to Pakistan,” he said. “They have to help.” Vice President Mike Pence reinforced that message in a visit to Afghanistan just before Christmas, telling cheering American troops that “President Trump has put Pakistan on notice.” But some analysts argued that while publicly complaining about Pakistan’s lack of action against terrorist groups may feel satisfying, such accusations were deeply counterproductive. Richard G. Olson, a former special representative for Afghanistan and Pakistan during the Obama administration, noted that the American military effort in Afghanistan was heavily reliant on Pakistan’s consent. Almost every military flight into Afghanistan, including those of attack aircraft, goes through Pakistani airspace. Most supplies travel along Pakistani roads and rails. “Our choices in Afghanistan are already difficult, but if you want to make them even more difficult, continue to taunt the Pakistanis,” Mr. Olson said. “The Pakistanis could effectively shut down the war.” Pakistan closed ground supply routes to Afghanistan in the months after the raid that killed Bin Laden, and those supply lines were rerouted to the northern route. But the northern route is heavily dependent on Russian consent, and with relations between Washington and Moscow deteriorating, such consent is far from assured. "
3,"Must a New York City condominium forever bear the name T-R-U-M-P in large, brasslike letters? Or can it choose to take them down in favor, perhaps, of what a majority of residents believe is a more dignified name, 200 Riverside Boulevard, its simple street address? That is the question before a State Supreme Court judge in Manhattan as part of a heated legal battle between the condominium’s board and DJT Holdings, a corporate entity owned by President Trump. There was a time in New York City and beyond when developers and businesses proudly emblazoned the Trump name on their residential buildings, hotels, steaks and water. But since Mr. Trump was elected president, a small countertrend has emerged. T-R-U-M-P letters have been peeled off three rental buildings also on Riverside Boulevard, as well as hotels in SoHo and Toronto. The Trump name was also excised from the now-defunct Taj Mahal casino on the Atlantic City boardwalk, but that happened at Mr. Trump’s insistence. The embattled condominium is part of a development that stretches from 59th to 72nd Street along the West Side, known variously as Riverside South and Trump Place. Mr. Trump bought the property, a former rail yard, in the 1980s, but with his business in distress, he ended up selling it to a group of Hong Kong billionaires who, with his help, developed it. The Trump name was cemented in place by a four-page licensing agreement, signed in 2000. It described Mr. Trump as a “worldwide renowned builder and developer of real estate who enjoys the highest reputation in these fields among others,” but set only a modest value on the use of his name: $1. Not payable monthly or even annually, but $1 in total. "
4,"WASHINGTON — In a notable back flip, the Trump administration has decided that maybe the Obama administration was right in its efforts to change the way doctors and hospitals are paid under Medicare. The Trump administration said late Tuesday that it was starting a Medicare payment model very similar to the ones it canceled and curtailed last year. The Obama administration devised the earlier projects using authority in the Affordable Care Act. In the new program, as described by Trump appointees, Medicare will make a single “bundled payment” for nearly all the services provided in a 90-day period to certain Medicare patients who are admitted to a hospital or have certain outpatient medical procedures. Health care providers can receive a bonus if they hold Medicare spending for these patients below a target set by the government, and they may have to repay the government if Medicare spending for them exceeds the target. Tom Price, the first secretary of health and human services under President Trump, accused the Obama administration of trying to “commandeer clinical decision making” by forcing doctors to participate in experiments that test new ways of paying for care. Participation in the new project is voluntary. Medicare has traditionally paid a separate fee for each service. Seema Verma, the administrator of the federal Centers for Medicare and Medicaid Services, said the new bundled payments were “an important step in the move away from fee-for-service and toward paying for value.” "
5,"WASHINGTON — Canada has filed a sweeping trade case against the United States at the World Trade Organization, lobbing a diplomatic grenade at the Trump administration’s “America First” approach amid an increasingly embattled trade relationship between the longstanding North American allies. The trade case could exacerbate tensions between the two nations, which have frayed in recent months as the countries wrestle with trade disputes and attempts to renegotiate the North American Free Trade Agreement. Canada’s case challenges the United States’ use of tariffs to punish unfair trade practices and protect its markets, saying those actions violate World Trade Organization rules. The case could expand into a multinational trade dispute given that Canada, a champion of global agreements, filed it in a way that allows other countries to join. The 37-page document outlines numerous problematic trade actions that it says the United States has taken against China, South Korea, Japan and Germany. The case, which was filed on Dec. 20 and made public on Wednesday, centers on the punitive tariffs that the United States imposes when it finds other countries guilty of subsidizing their products or of selling them abroad at unfairly low prices, a practice known as dumping. The United States has lost cases in the World Trade Organization over this system, which differs substantially from that of many countries. Robert E. Lighthizer, the United States trade representative, called Canada’s action “a broad and ill-advised attack” on the American trade system. “U.S. trade remedies ensure that trade is fair by counteracting dumping or subsidies that are injuring U.S. workers, farmers and manufacturers,” he said in a statement on Wednesday. “Canada’s claims are unfounded and could only lower U.S. confidence that Canada is committed to mutually beneficial trade.” "
6,"If there has been any benefit from Russia’s interference in the 2016 election, it’s that it has raised awareness about President Vladimir Putin’s broader threat to democracies in Europe and elsewhere. In the face of complacency from Republicans fearful of what attention to these intrigues might reveal about the Trump campaign’s dealings with Russia, Democrats on the Senate Foreign Relations Committee have issued a report that appears to be the most comprehensive public accounting of Russia’s war on the West. It drives home the point that the 2016 election, which every American intelligence agency has said involved Russian interference to help elect Donald Trump, is part of a pattern in which Mr. Putin has worked to erode Western institutions and undermine faith in democratic practices. Few countries in Europe have escaped his malign intrusions. The report should serve as an alert for the United States to work urgently with its allies to protect democracy. There is a significant impediment, however, and that is President Trump and the congressional leaders who enable him. Mr. Trump persists in his bizarre fascination with Mr. Putin and refuses to acknowledge that Russia poses a security threat, even though his own recently released national security strategy says Russia, along with China, seeks to “challenge American influence, values and wealth.” Republicans in Congress have expressed more concern about those who revealed Russia’s meddling than about the meddling, and have done nothing to ensure it cannot be repeated. According to the report, the Kremlin is spending far more on foreign propaganda outlets, and on nongovernmental groups and political parties opposed to the European Union and NATO. It enlisted organized crime groups to launder money and commit other crimes, and used its control of energy supplies to spread corruption, the report said. Russia used cyberwarfare, disinformation and military force to inhibit ties to the West by Georgia and Ukraine. The Kremlin is also trying to undermine Serbia’s efforts to integrate with the West by exploiting connections between the Russian Orthodox Church and Serbians and through its near monopoly on energy supplies. Russia has weakened democracy in Hungary and Bulgaria, both members of the European Union and NATO, and has drawn them closer to Mr. Putin’s orbit. The Kremlin is spreading its reach into Mexico and the Middle East. This activity would be troubling at any time, but more so now when the president has denied there has been Russian meddling, refused to criticize Mr. Putin and has seemed more interested in rewarding Moscow than confronting it. The report was produced without Republican input, which gives it a partisan cast it does not deserve, especially since it acknowledges that the threat posed by Mr. Putin existed before the current administration came to office. Democrats hope the report will increase pressure on the administration to put into effect sanctions Congress overwhelmingly enacted last year with a deadline of Jan. 29. “Never before in American history has so clear a threat to national security been so clearly ignored by a U.S. president,” Senator Ben Cardin, the top Democrat on the Foreign Relations Committee, said in a letter attached to the report. By contrast, Europe, as the report notes, has begun to push back. Germany pre-empted Russian interference in its elections by warning the Kremlin that meddling would bring consequences, by forging an agreement among political parties not to use bots or paid trolls, and by ensuring cybercooperation between the government and campaigns. Spain has led Europe in cracking down on Russian-based organized crime groups. The Baltic States have beefed up defenses against cyberattacks and disinformation and diversified energy supplies to avoid overreliance on Russia. NATO and the European Union have focused on cyberdefense. As the report points out, there are many things besides sanctions that should be part of a comprehensive American strategy, including helping to strengthen democratic institutions in vulnerable European countries, exposing and freezing Kremlin-linked dirty money and building a coalition to counter Russian hybrid threats. But most important is leadership, which so far Mr. Trump has refused to provide. On Twitter, he denounced the Democrats for releasing the report and, once again, said he had not colluded with Moscow. “Russia & the world is laughing at the stupidity they are witnessing,” he wrote. He’s right, but he doesn’t realize who is being laughed at. "
7,(Want to get this briefing by email? Here’s the sign-up.) Good evening. Here’s the latest.      
8,"PHILADELPHIA — It is not difficult to find an all-male panel at the annual January mega-gathering of American economists. They are as common as PowerPoint presentations and pie charts. One such panel this year met to sleepily critique President Trump’s economic policies, but it was overshadowed by another panel, two ballrooms away, that jolted a profession that prides itself on cool rationality. That panel on Friday was stocked with women, each of whom presented new research that revealed a systemic bias in economics and presaged a move by the field’s leaders to promise to address some of those issues. Paper after paper presented at the American Economic Association panel showed a pattern of gender discrimination, beginning with barriers women face in choosing to study economics and extending through the life cycle of their careers, including securing job opportunities, writing research papers, gaining access to top publications and earning proper credit for published work. Economics departments have gradually increased their share of female faculty members over the past 20 years. But only one in five tenure-track economics professors is a woman, according to the American Economic Association’s Committee on the Status of Women in the Economics Profession. In many parts of the profession, gender progress stagnated over the last decade. About one in three new economics doctoral students was a woman in 2016, and fewer than one in three assistant professors were women. In both of those cases, the share of women was essentially unchanged from 2006. "
9,      
