,text
0,     
1,       
2,"WASHINGTON — With more and more states running out of money for the Children’s Health Insurance Program, parents took their case to Capitol Hill on Tuesday, pleading with Congress to provide money before their sons and daughters lose health care and coverage. But the program, known as CHIP, which insures nearly nine million children, took a back seat as lawmakers raced to pass a $1.5 trillion tax cut. CHIP’s fate, it appears, is now caught up in a messy fight over an end-of-the-year deal on spending that must be struck by Friday to avert a government shutdown. “CHIP is being used as a pawn in larger debates and negotiations,” Linda Nablo, the chief deputy director of the Virginia Department of Medical Assistance Services, said Tuesday in an interview. “It has fallen victim to the dysfunction and partisanship in Congress. And we are getting very close to the point where some children will also be victims.” Virginia sent letters last week to parents of 68,000 children warning them that CHIP coverage would end on Jan. 31 unless Congress took action. Congress has known since April 2015 that funds for the popular children’s insurance program — created and sustained for two decades with bipartisan support — would expire this year at the end of September. The Senate Finance Committee approved a five-year extension of funding for the program in early October, but did not specify how to pay for it — and Republicans insist that it must be paid for. The House passed a bill to provide five years of funds in early November, but those funds would come from public health programs set up under the Affordable Care Act and an increase in premiums for affluent Medicare beneficiaries, provisions that are unacceptable to most Democrats. House Republicans plan to send those same provisions to the Senate again this week as part of a stopgap spending bill, knowing they will be killed. "
3,"WASHINGTON — The sting of failure on health care still lingered in the Senate on Aug. 3, when Mitch McConnell, the majority leader, summoned the Republican members of the Budget Committee to his office. We need to pass a tax bill this fall, Mr. McConnell told his colleagues, and we need a budget that allows us to do that. There was no dissent. Within two months, party leaders had hammered out a budget that steamrolled their previous concerns over adding to the federal budget deficit, in order to pave the way for $1.5 trillion in tax cuts. In rapid order, the budget passed the Senate, then the House, putting Republicans on track to deliver a tax bill at breakneck speed to President Trump’s desk by Christmas. The $1.5 trillion bill represents the most sweeping overhaul of the United States tax code in decades, delivering deep and permanent cuts to corporations and temporary tax cuts to individuals. Early Wednesday morning, Republicans claimed victory as the Senate voted 51-48 to pass the bill, which the House passed on Tuesday 227 to 203. But in many ways, the bill represents a political and economic gamble for Republicans. A majority of Americans oppose it, and relatively few believe they will benefit personally from it, polls show. Economic analyses predict it will add more than $1 trillion to budget deficits over the next decade, an amount that would betray the party’s longstanding messaging that mounting federal debt will sap economic growth. Republicans spurned those concerns, rallying around what has been the animating ideology of their party since the Reagan era: that tax cuts will drive faster growth and national prosperity. More immediately, they followed an overwhelming desire to notch a legislative “win” for the president, their donors, the restless voters of their party base and for their own political fortunes. There were crucial steps that ensured passage, including a deficit bargain struck between Senators Patrick J. Toomey and Bob Corker in September, pressure from Mr. Trump on a controversial push to tweak retirement savings in the bill and, in the Senate, an early and crucial endorsement from John McCain of Arizona, the Republican wild card whose late defection killed the health care bill. "
4,"WASHINGTON — The Heritage Foundation, the conservative think tank that has influenced Republican White Houses and shaped conservative policy since the 1970s, named a new president on Tuesday who has deep ties to the party’s social conservative and evangelical Christian wing as it moved to steady itself after a year of internal turmoil. Kay Coles James, who served in the administrations of Ronald Reagan, George Bush and George W. Bush, will fill the vacancy left this year when Heritage’s board unexpectedly removed Jim DeMint, the former senator from South Carolina who became a leading practitioner of the uncompromising, no-apologies style of conservatism that characterized the Tea Party revolt. If Mr. DeMint’s appointment in 2013 was a sign that Heritage was embracing the grass-roots energy that had proved so disruptive to the Republican Party, naming Ms. James was an acknowledgment that many inside the organization believe Heritage had strayed from its mission of acting as the intellectual and policy guide star for conservatives. Like other institutions that had grown comfortable in their roles as fixtures of the political establishment, Heritage has struggled to find a meaningful role for itself in President Trump’s Washington. Some inside the group complained that it had little influence in shaping debates on Capitol Hill that conservatives should have been far better prepared for — like the struggle over repealing the Affordable Care Act. And a few of Heritage’s largest donors and board members like Rebekah Mercer, whose family helped finance Mr. Trump’s campaign, agitated for change, arguing that the group was squandering its opportunity to lead at a time when Republicans controlled the House, Senate and White House. Inside the organization, people viewed Ms. James as a safe choice who, while unlikely to resolve the tensions over Heritage’s direction, would not make them any worse. "
5,"Donald Trump has often been described as the second coming of P. T. Barnum, the legendary 19th-century showman. Biographers, academics and journalists have embraced this idea, as have members of Mr. Trump’s family. “He is P. T. Barnum,” his sister once said. With a movie opening on Wednesday that is loosely inspired by Barnum’s life — “The Greatest Showman,” starring Hugh Jackman — we’re likely to hear these comparisons again. Please: Barnum would be appalled by Mr. Trump. While they share some superficial similarities, it’s the differences that stand out. Phineas Taylor Barnum is a figure frequently invoked but rarely understood. He amassed a fortune promoting a bewildering range of popular entertainments: an elderly slave masquerading as George Washington’s nursemaid; a gifted Swedish opera singer, Jenny Lind, whom he turned into an international superstar; a half-monkey, half-fish masterpiece of taxidermy that he advertised as the FeeJee Mermaid; and other attractions, dubious and genuine. Many of these he exhibited at his American Museum in Lower Manhattan. Later, he took the show on the road, touring the world with his famous circus and sideshows. Barnum’s hyperbole, his willingness to bend the truth when promoting his entertainments, his artful manipulation of the press, never mind his participation in outright hoaxes, invite comparisons with Mr. Trump. Likewise, Barnum’s fondness for living large — he built a garish Moorish mansion he called “Iranistan” — calls to mind Mr. Trump’s gilded excesses. Both men became teetotalers; both went bankrupt, only to claw their way back to the top. And then, of course, there’s Barnum’s famous saying: “There’s a sucker born every minute.” Except that Barnum never said that or anything like it, though it was a popular saying among 19th-century con artists and flimflam men. As a showman, Barnum went to great lengths to distinguish himself from these swindlers. He believed that if he accepted customers’ hard-earned cash, he had to give them their money’s worth. “No one,” Barnum declared in his autobiography, “can say that he ever paid for admission to one of my exhibitions more than his admission was worth to him.” A patron of Barnum’s museum might dispute the authenticity of some exhibits. But visitors rarely, if ever, came away feeling shortchanged or cheated. "
6,"“This has been a year of extraordinary accomplishment for the Trump administration.” SENATOR MITCH McCONNELL, Republican of Kentucky and the majority leader, praising the president, with whom he has often been at odds, at an event celebrating the passage of a $1.5 trillion tax overhaul. "
7,"WASHINGTON — An end-of-the-year showdown that was once promised over delicate issues like immigration, health care and surveillance appeared to fizzle on Wednesday as key Republicans dropped their demands to shore up shaky health insurance markets and Democrats appeared to abandon their goal to force adoption of a measure protecting young undocumented immigrants from deportation. Instead, Congress moved toward a one-month punt that would keep the government funded into January and once again put off policy confrontations. As Republicans celebrated the passage of their tax overhaul at the White House with President Trump, the party’s leaders in the House and Senate worked behind the scenes to shape a stopgap spending measure to fund federal agencies and avert a government shutdown. Only days ago, Senator Susan Collins, Republican of Maine, said she would vote for the tax bill because she had secured a promise from the majority leader, Senator Mitch McConnell of Kentucky, to include two health care provisions to stabilize insurance markets in an end-of-the-year spending measure. On Wednesday, she dropped that demand and said she hoped it would be passed in early 2018. “It looks like the Christmas present of lower health insurance premiums will now have to be a Valentine’s Day present,” said Senator Lamar Alexander, Republican of Tennessee, who had joined Ms. Collins’s demand. Similarly, Senator Jeff Flake, Republican of Arizona, traded his vote on the tax bill, in part for a promise from Republican leaders to consider a deal to protect young immigrants brought into the United States as children, known as Dreamers. Mr. McConnell said on Wednesday that if negotiators could reach bipartisan agreement on the deal in January, he would put it to a full Senate vote. Behind those decisions was a desire to avoid confrontation and leave Washington for the Christmas holiday. “I can’t think of a bigger act of political malpractice after a successful tax reform vote than to shut the government down,” said Representative Charlie Dent, Republican of Pennsylvania. “Talk about stepping on your own message. I mean, really, how dumb would that be?” But the price for peace was anger and frustration in both parties. By maintaining current spending levels into January, Republican leaders would make it difficult to bolster military spending as promised until well into the fiscal year. Democrats, especially in the House, said they were outraged that their leaders again squandered a moment of leverage to leave young immigrants unprotected. “To everybody who says, ‘We can wait until next year’ — we can’t,” said Representative Luis Gutiérrez, Democrat of Illinois. “Because you know what? Your work permit didn’t expire. Your children are not going to face deportation. Your hope for the future does not vanish.” But no final decisions were made on Wednesday, and funding for much of the government runs out at midnight Friday. Still awaiting attention is the popular Children’s Health Insurance Program, known as CHIP, whose funding expired on Oct. 1, as well as legislation to reauthorize a program allowing warrantless surveillance of foreigners abroad, which expires Dec. 31. House Republicans seemed poised to attach a short-term extension of the surveillance program to that chamber’s spending bill, which would fund the government through Jan. 19. The Senate was likely to follow a similar course, putting off the question of what to do about the law until early next year. Also left unresolved is an $81 billion package of relief for hurricane- and fire-ravaged areas. House Republicans have put together a measure that would provide the money, raising the total amount of disaster aid approved by Congress since September to more than $130 billion. But it is unclear when the measure will be considered. With the punt, lawmakers from both parties appear determined to avoid a Christmas Eve crisis. House Republicans had previously unveiled a plan that would provide temporary funding to keep the government open through Jan. 19, coupled with a full year of funding for the Defense Department. But that approach would be a nonstarter in the Senate, where Democrats have the power to block spending measures. House Republicans have since backed away from that plan, only to face resistance from defense hawks in their conference during a closed-door meeting Wednesday evening as they tried to corral the votes necessary to pass the spending bill. “Right now, this is all about defense,’’ said Representative Chris Collins, Republican of New York. “It comes down to, the defense hawks want money and assurances that, unfortunately, the Senate’s not in a position to give them.” Although the 2018 fiscal year began on Oct. 1, lawmakers are still far from reaching an agreement on a long-term spending package to fund the government. Republican and Democratic leaders want to reach a deal to raise strict spending caps that were imposed in 2011. But they have so far been unable to agree, and until such a pact is made, a long-term spending bill cannot be negotiated. Leaders of both parties in the House and the Senate support legislation to provide five years of funding for CHIP, but they have been unable to agree on how to pay for it. And Republicans insist that Congress must find a way to offset the cost of new spending on the program, a position that infuriates Democrats, who say the tax bill was not “paid for.” “All these senators that have insurance paid for by the taxpayers are celebrating at the White House today, doing this tax cut, while they’re willing to go home having not taken care of 209,000 children in my state,” said Senator Sherrod Brown, Democrat of Ohio. “Millions of families in the United States are now facing Christmas vaguely understanding that insurance for their children might be cut off at the end of the year,” Mr. Brown said. As it became increasingly clear that Congress would put off action on Democratic priorities like CHIP and immigration, some Democrats and activists accused Representative Nancy Pelosi of California and Senator Chuck Schumer of New York, the House and Senate Democratic leaders, of giving up. NextGen America, a group that often focuses on climate and energy issues, said Democrats should vote against the spending bill if it did not include the immigration measure, known as the Dream Act. “If we truly want to be the party of progress and opportunity, the party of ‘Si, se puede,’ then we must protect young immigrants,” said the group’s founder, Tom Steyer, using Spanish for “Yes, we can.” “Leaders Pelosi and Schumer looked Dreamers in the eye and promised to stand up for them — and now is the time to do it. If we won’t fight for our young people, then what are we doing?” Senator Richard J. Durbin of Illinois, the No. 2 Democrat in the Senate and the chamber’s main champion of the Dream Act, said the White House had been demanding a number of border security and enforcement measures that Democrats opposed. One Democratic aide familiar with the negotiations in the Senate said that Democrats were increasingly worried that they would be blamed for a government shutdown if their party blocked the spending bill and held firm on having an immigration deal before January. But Representative Michelle Lujan Grisham, Democrat of New Mexico and the chairwoman of the Congressional Hispanic Caucus, said she refused to accept that lawmakers would choose to go home for the holidays while young undocumented immigrants were holding hunger strikes and being arrested at protests to keep families together. “The second I accept that we can do something later is the second I tell folks who are here — losing their jobs, having their families separated, taking incredible risks — that their issues and the parents who are struggling to have CHIP funding, and veterans, that they are not worth our support,” she said. "
8,"WASHINGTON — The Supreme Court indicated on Wednesday that federal courts in California had moved too fast in ordering the Trump administration to disclose documents concerning its decision to end a program that protected some 800,000 young, undocumented immigrants from deportation. In an unsigned opinion, the justices instructed the lower courts to consider the administration’s arguments on two threshold legal issues before requiring that the documents be turned over. The administration contends that its decision to end the program, known as Deferred Action for Childhood Arrivals, or DACA, was within its lawful discretion and that the courts are in any event without jurisdiction to review the matter. “Either of those arguments, if accepted, likely would eliminate the need for the district court to examine a complete administrative record,” the Supreme Court’s opinion said. Should the courts reject those arguments, the opinion said, they should nonetheless consider requiring fewer documents to be produced and allow the administration to present arguments about whether particular documents are privileged. There were no noted dissents from Wednesday’s opinion, which appeared to be the product of compromise. That was in contrast to the Supreme Court’s first order in the case on Dec. 8, when the justices split 5 to 4 along ideological lines. The more conservative members of the court were in the majority, and they allowed the administration to temporarily shield the documents. The dispute arose in five consolidated lawsuits in California that accused administration officials of acting unlawfully when they abruptly rescinded the program. The plaintiffs include four states: California, Maine, Maryland and Minnesota. Judge William H. Alsup of the Federal District Court in San Francisco ordered the administration to turn over internal documents concerning its reasons for canceling the program. A divided three-judge panel of the United States Court of Appeals for the Ninth Circuit rejected the administration’s request to block Judge Alsup’s order, with the majority saying that the few documents provided by the administration had been inadequate in light of the magnitude of the decision to end the program. In an emergency application to the Supreme Court, the solicitor general, Noel J. Francisco, asked the justices to step in. He said Judge Alsup’s order was an “extraordinary departure from bedrock principles governing judicial review of federal agency action,” given the practical burdens it imposed and in its intrusion into the administration’s internal deliberations. In its opinion on Wednesday, the Supreme Court noted that the administration had produced just 256 pages of documents, of which “nearly 200 pages consist of published opinions from various federal courts.” In setting aside the Ninth Circuit’s ruling, the Supreme Court said it was not expressing any views on the merits of the dispute. "
9,"When President  Trump adds his distinctive signature to the tax bill, he will also be making a huge bet that the Republican strategy of deep cuts for businesses and wealthy individuals will fuel extraordinary growth across the board. Perhaps more than any other American political leader, Mr. Trump knows that long shots, like his own presidential bid, sometimes pay off. In that vein, he and congressional Republicans are arguing that their bitterly contested and expensive rewrite of the tax code will ultimately create more jobs and raise wages. If they are proved correct, they will be repudiating not only historical experience, but most experts. From Congress’s own prognosticators to Wall Street’s virtuosos, scarcely any independent analyses project anything like the rosy forecasts offered by the president’s top economic advisers. To Mr. Trump and his allies, the normal models just do not fully capture the high-octane “rocket fuel” embedded in the tax plan. Mr. Trump intuitively understands just how much attitudes and expectations can shape economic decisions. With a businessman in the White House, Mr. Trump argues that companies, large and small, have a renewed faith in the economy. And the corporate tax cut, combined with the rollback in regulation, will prompt waves of new investment and hiring, as middle-class Americans liberally spend the extra money in their pockets. “We’re going to easily see 4 percent growth next year,” the National Economic Council director, Gary D. Cohn, said. Steven Mnuchin, the Treasury secretary, declared the tax plan would generate enough growth to more than pay for its $1.5 trillion cost. But those pronouncements are at odds with estimates from the former employer of both men, Goldman Sachs. The bank projected that the tax bill will add just three-tenths of 1 percent of growth in the next two years, before its impact peters out. The firm’s annual growth estimate of 2.5 percent for 2018 matched the one issued this week by the nation’s central bank, the Federal Reserve, while the latest median Wall Street forecast hovered close by. And in 2019, growth is expected to drop to 1.8 percent, Alec Phillips, chief United States political economist for Goldman, said Wednesday after the Senate vote. “We note that the effect in 2020 and beyond looks minimal and could actually be slightly negative,” the company said in a recent published summary. Such projections are unlikely to deter Mr. Trump and Republican leaders from declaring success next year. Lower taxes and extra incentives to invest in 2018 are almost certain to encourage consumers to spend and businesses to expand. Reduced rates mean most Americans will start taking home more money right away. Roughly three-quarters of taxpayers are expected to get a cut next year, according to the nonpartisan Tax Policy Center. Employers may offer other sweeteners, even if they were not specifically spurred by the tax plan. AT&T announced Wednesday that it was giving more than 200,000 domestic employees a $1,000 bonus when the tax bill is signed. Fifth Third Bancorp, based in Cincinnati, also promised a $1,000 bonus and said it would raise the company’s minimum wage to $15 an hour. At the same time, the anticipated cut in the corporate rate to 21 percent from 35 percent and other business perks are lifting the stock market to new heights. In an earnings call this week, Alan B. Graf Jr., FedEx’s chief financial officer, said the company planned to use part of its tax windfall to fatten dividends. But like a shot of adrenaline, that initial burst of economic activity is likely to fade. Some provisions of the bill were intended to be sharp and short. Next year, for example, businesses will be able to borrow money and deduct the cost of those loans at the current rate of 35 percent. But later on, when they reap the profits, they will pay a tax rate of only 21 percent. That could end up causing firms to simply shift the timing of investments they would have made regardless of a change in the tax code. “The really hard question a year from now is going to be is how much of the miniboom we see is just an acceleration of stuff that was going to happen anyway or additional investment that is really going to spur the economy,” said Mihir A. Desai, a professor of finance at Harvard Business School. Tax cuts can provide an added incentive to invest. But as most chief executives acknowledge, they are generally not the crucial factor. Investment decisions are much more closely linked to demand for goods and services or technological advancement. As it is, manufacturers are not making full use of the capacity in their existing facilities. Mr. Graf of FedEx held out the possibility of more spending on capital investment and hiring next year. But he noted that the economy as a whole would first have to “increase materially.” Over time, most of the broad-based tax cuts will disappear. Although the richest sliver of Americans will continue to get a break, most people who earn less than $100,000 will see their taxes rise, which could slow the economy’s primary engine, consumer spending. Further tightening is likely if the Republicans follow through on sharply cutting Medicare, Medicaid, Social Security and other programs that tend to put extra cash into the pockets of lower and moderate-income households. Either way, the deficit will continue to balloon. Over the last decade alone, the deficit has more than tripled. So far, the interest needed to cover that enormous loan has remained relatively small because interest rates have been at historically low levels. But those costs are expected to soar. The Federal Reserve has indicated that it intends to slowly but surely raise the benchmark interest rate. Some economists support such deficit spending during recessions, but they worry that offering stimulants when the economy is on fairly steady ground can backfire. Although employers have resisted raising salaries by much, they continue to complain about the tightness of the labor market. The jobless rate has dipped to 4.1 percent while job openings have remained at record high levels. Virtually no economists believe that the tax cuts will pay for themselves. Several studies have shown that they rarely cover more than a third of the cost. Others have questioned whether cuts produce any significant growth at all — even if they do encourage some individuals to work, save and invest. In a study that William G. Gale and Andrew Samwick did for the Tax Policy Center, they concluded that cuts that increase budget deficits “in the long term will reduce national saving and raise interest rates.” The pattern of short-term promise followed by disappointment is one that other presidents have experienced. President Ronald Reagan in 1981 and President George W. Bush in 2001 and 2003 both passed tax cuts that delivered temporary bumps to the economy followed by slowdowns and rising deficits. “The clear consensus among independent economists is that the impact of the tax cuts on growth is nowhere close to what the administration is talking about,” said Mr. Desai of Harvard. Whatever growth does occur, he added, will be “counteracted by the fiscal irresponsibility of the bill.” "
